Paprotnica krucha
Paprotnik
Paprotnik Fortune'a
Paprotnik kolczysty
Paprotnik szczecinkozębny
Parczelina trójlistkowa
Parzydło leśne
Paulownia cesarska
Paulownia puszysta
Pelargonia pasiasta
Pelargonia wielkokwiatowa
Pełnik chiński
Pełnik europejski
Penstemon
Penstemon bródkowaty
Penstemon palczasty
Perłówka wyniosła
Perłówka zwisła
Perowskia
Perowskia bylicowata
Perukowiec podolski
Pęcherznica kalinolistna
Pępawa
Pępawa złota
Piaskowiec czterograniasty
Piątak lancetowaty
Pieris japoński
Pierwiosnek
Pierwiosnek (lekarski)
Pierwiosnek Beesa
Pierwiosnek chiński (Viala)
Pierwiosnek główkowaty
Pierwiosnek gruziński
Pierwiosnek kwiecisty
Pierwiosnek łyszczak
Pierwiosnek maleńki
Pierwiosnek niebieskawy
Pierwiosnek omączony
Pierwiosnek omszony
Pierwiosnek różowy
Pierwiosnek Siebolda
Pierwiosnek szorstki
Pierwiosnek tracki
Pierwiosnek wielonerwowy
Pierwiosnek wyniosły
Pierwiosnek ząbkowany
Pierwiośnik górski
Pierzogłówka grecka
Pięciornik
Pięciornik biały
Pięciornik krzewiasty
Pięciornik kurze ziele
Pięciornik lśniący
Pięciornik skalny
Pięciornik thubera
Pięciornik złoty
Pigwa pospolita
Pigwowiec chiński
Pigwowiec japoński
Pigwowiec okazały
Pigwowiec wspaniały
Piórkówka zwisła
Pióropusznik strusi
Piwonia
Piwonia bałkańska
Piwonia chińska
Piwonia Delavaya
Piwonia drzewiasta
Piwonia lekarska
Piwonia męska
Piwonia Młokosiewiecza
Piwonia Veitcha
Piwonia Wittmanna
Platan klonolistny
Pluskwica
Pluskwica gałęziasta
Pluskwica groniasta
Płomyk dwubarwny
Płomyk kanadyjski
Płomyk rozłogowy
Płomyk szydlasty
Płomyk wiechowaty
Podkolan
Podrzeń
Podrzeń żebrowiec
Ponętlin Powella
Ponikło błotne
Popłoch pospolity
Porzeczka krwista
Posłonek
Posłonek alpejski skalny
Posłonek rozesłany
Powojnik
Powojnik alpejski
Powojnik całolistny
Powojnik górski
Powojnik prosty
Powojnik rurkowaty
Powojnik teksański
Powojnik viorna
Powojnik wielkokwiatowy
Powojnik włoski
Powój
Poziomkówka indyjska
Pragnia kuklikowata
Pragnia syberyjska
Pratia
Proso rózgowate
Prusznik
Prusznik niebieski, Bez kalifornijski
Przebiśnieg Elwesa
Przegorzan banatyński
Przegorzan kulisty
Przegorzan pospolity
Przelot górski
Przetacznik
Przetacznik popielaty
Przetacznik wirgilijski
Przetacznik wirginijski
Przetacznik ząbkowany
Przęstka pospolita
Przylaszczka
Przylaszczka pospolita
Przymiotno okazałe
Przymiotno pomarańczowe
Przytulia
Przytulia wonna
Przytulia wonna (marzanka wonna)
Przywrotnik
Przywrotnik alpejski
Przywrotnik ostroklapowy
Przywrotnik żółtawozielony
Psiząb
Pszczelnik wąskolistny
Pszczelnik wielkokwiatowy
Pszonak
Puszkinia cebulicowata
Pysznogłówka dęta
Pysznogłówka szkarłatna
Ramonda pirenejska
Rannik
Rannik zimowy
Rdest
Rdest alpejski
Rdest Auberta
Rdest główkowaty
Rdest himalajski
Rdestowiec ostrokończysty
Robinia akacjowa
Robinia akacjowa - grochodrzew
Robinia bujna
Robinia szczeciniasta
Rodgersia pierzasta
Rodgersja
Rodgersja kasztanowcolistna
Rodochiton
Rogatek krótkoszyjkowy
Rogownica alpejska
Rogownica jednokwiatowa
Rogownica kutnerowata
Rogownica kutnerowata (Biebersteina)
Rojnik
Rojnik górski
Rojnik murowy
Rojnik orzęsiony
Rojnik pajęczynowaty
Rojnikowiec ciernisty
Rojnk
Rokitnik zwyczajny
Rosiczka długolistna
Rosiczka okrągłolistna
Roskea
Rozchodnik
Rozchodnik białoróżowy
Rozchodnik biały
Rozchodnik Ewersa
Rozchodnik kamczacki
Rozchodnik karpacki (wielki)
Rozchodnik kaukaski
Rozchodnik kwiecisty
Rozchodnik mieszańcowy
Rozchodnik naskalny
Rozchodnik okazały
Rozchodnik ościsty
Rozchodnik sześciorzędowy
Rozchodnik topololistny
Rozmaryn lekarski
Rozplenica
Rozplenica japońska (piórkówka)
Rozpław sercowaty
Rozwar wielkokwiatowy
Rożeniec górski
Rożnik
Rożnik przerośnięty
Róża
Róża alpejska
Róża angielska
Róża biała
Róża dzika
Róża francuska
Róża gęstokolczasta
Róża historyczna
Róża okrywowa
Róża parkowa
Róża pnąca
Róża pomarszczona
Róża rabatowa
Róża rdzawa
Róża wielkokwiatowa
Różanecznik
Różanecznik alpejski
Różanecznik dahurski
Różanecznik Degrona
Różanecznik gęsty
Różanecznik jakuszimański
Różanecznik karoliński
różanecznik katawbijski
Różanecznik pontyjski
Różanecznik Schlippenbacha
Różanecznik żółty
Rudbekia
Rudbekia błyskotliwa
Rudbekia lśniąca
Rudbekia maxima
Rudbekia naga
Rudbekia trwała
Rumian Biebersteina
Rumian Karpacki
Rumian Marschalla
Rumian szlachetny
Runianka japońska
Ruta zwyczajna
Rutewka
Rutewka dwuskrzydłowa
Rutewka orlikolistna
Rutewka żółta
Rutwica
Rutwica lekarska
Rzewień dłoniasty
Rzeżucha
Rzeżucha łąkowa
Rzeżucha trójlistkowa
Sadziec
Sadziec plamisty
Sadziec pomarszczony
Sadziec purpurowy
Santolina cyprysikowata
Santolina rozmarynolistna
Sasanka
Sasanka albańska
Sasanka alpejska
Sasanka otwarta
Sasanka słowacka
Sasanka zwyczajna
Saxifraga oppositifolia var. paradoxa Skalnica naprzeciwlistna
Sekwoja wiecznie zielona
Seler błotny (pęczyna)
Serduszka
Serduszka okazała
Serduszka piękna
Serduszka wspaniała
Sit cienki
Siwiec żółty
Skalnica
Skalnica Arendsa
Skalnica długolistna
Skalnica gronkowa
Skalnica liścieniolistna
Skalnica naprzeciwlistna
Skalnica poduszkowa
Skalnica zarzyczkolistna
Skimmia japońska
Skrzydlinka naprzeciwlistna
Skrzydlinka wielkokwiatowa
Skrzyp bagienny
Skrzyp zimowy
Słoneczniczek szorstki
Słonecznik
Słonecznik bulwiasty
Słonecznik dziesięciopłatkowy
Słonecznik wierzbolistny
Smagliczka
Smagliczka alpejska
Smagliczka nadmorska
Smagliczka skalna
Smagliczka srebrzysta
Smagliczkówka woreczkowata
Solidago virgaurea ssp. minuta var. mNawłoć pospolita
Sosna Armanda
Sosna Banksa
Sosna bośniacka
Sosna Coultera
Sosna czarna
Sosna drobnokwiatowa
Sosna giętka
Sosna górska (kosodrzewina)
Sosna himalajska
Sosna Jeffreya
Sosna koreańska
Sosna Limba
Sosna oścista
Sosna wejmutka
Sosna wydmowa
Sosna x
Sosna zwyczajna
Sosna żółta
Sośnica japońska
Sóweczka
Starzec
Stokezja preriowa
Stopkowiec himalajski
Stopkowiec tarczowaty
Storczyk
Stranwersja Dawida
Strelicja królewska
Stromante
Strzęplica sina
Suchodrzew alpejski
Sumak octowiec
Surmia Katalpa pośrednia
Surmia Katalpa zwyczajna
